No,Project Name,Municipality,Sector,Currency,Amount,YearStart,YearEnd_original,Funding/Donor,Implementing Partner,Status_original,SDGs_Alignment,NSDP_Alignment,YearEnd,Donor,Implementing Agency,Status,Budget,level_areas,Category,budget_clean
256,"IKAN Adapt: Strengthening the adaptive capacity, resilience and biodiversity conservation ability",Timor-Leste,Agriculture,USD,"4,416,210.00",2022,2027,GEF,FAO,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,2027.0,GEF,FAO,Ongoing - Active,4416210.0,National,Multilateral/Banks,4416210.0
258,Transforming Agri-Food Systems,Timor-Leste,Agriculture,USD,"4,000,000.00",2022,2025,USAID,FAO,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,2025.0,USAID,FAO,Ongoing - Active,4000000.0,National,Bilateral (Foreign Govs),4000000.0
259,Building Coastal Community Resilience and Better Livelihoods,Timor-Leste,Agriculture,USD,"331,000.00",2025,2026,FAO,FAO,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,2026.0,FAO,FAO,Ongoing - Active,331000.0,National,United Nations,331000.0
260,Strengthening National Capacity on Climate Smart Dairy,Viqueque,Agriculture,USD,"404,000.00",2025,2027,FAO,FAO,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,2027.0,FAO,FAO,Ongoing - Active,404000.0,Municipality,United Nations,404000.0
257,Enhancing Early Warning Systems,Timor-Leste,Agriculture,USD,"3,425,605.00",2022,2026,UNEP - GCF,"FAO, joint project",Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,2026.0,UNEP - GCF,"FAO, joint project",Ongoing - Active,3425605.0,National,Multilateral/Banks,3425605.0
248,Partnership for Public Financial Management (PFM) and Digital Transition in Timor-Leste” (PADIT-TL) project,Timor-Leste,Public Sector Management,USD,"13,632,000",2025,2027,EU,"GovT, UNDP",Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,2027.0,EU,"GovT, UNDP",Ongoing - Active,13632000.0,National,Multilateral/Banks,13632000.0
1,Construction of new road  and water reservation tanks,Atauro,Infrastructure & Sanitation,USD,"34,689.12",2025,2025,GovTL,GovTL,Completed,5. Job & social protection,2. Infrastructure development,2025.0,Government of Timor Leste,GovTL,Completed,34689.12,Municipality,Other,34689.12
2,Construction of new road,Atauro,Infrastructure,USD,"38,433.97",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Government of Timor Leste,GovTL,Ongoing - Active,38433.97,Municipality,Other,38433.97
3,Construction of  new school building,Atauro,Infrastructure,USD,"41,981.72",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Government of Timor Leste,GovTL,Ongoing - Active,41981.72,Municipality,Other,41981.72
4,Extension of roads,Atauro,Infrastructure,USD,"41,981.72",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Government of Timor Leste,GovTL,Ongoing - Active,41981.72,Municipality,Other,41981.72
5,Construction of water reservation tanks,Atauro,Infrastructure,USD,"34,689.12",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Government of Timor Leste,GovTL,Ongoing - Active,34689.12,Municipality,Other,34689.12
6,construction of new roads,Atauro,Infrastructure,USD,"44,000.00",2024,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Government of Timor Leste,GovTL,Ongoing - Active,44000.0,Municipality,Other,44000.0
7,Construction of new hospital budilings,Atauro,Infrastructure & Sanitation,USD,"53,250.00",2024,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Government of Timor Leste,GovTL,Ongoing - Active,53250.0,Municipality,Other,53250.0
8,construction of kindergarten schools,Atauro,Infrastructure,USD,"44,636.65",2024,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Government of Timor Leste,GovTL,Ongoing - Active,44636.65,Municipality,Other,44636.65
9,Construction of new roads,Atauro,infrastructure,USD,"48,750.00",2024,2024,GovTL,GovTL,Completed,5. Job & social protection,2. Infrastructure development,2024.0,Government of Timor Leste,GovTL,Completed,48750.0,Municipality,Other,48750.0
10,Construction of protection wall for water source,Atauro,Protection & Sanitation,USD,"44,000.00",2024,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Government of Timor Leste,GovTL,Ongoing - Active,44000.0,Municipality,Other,44000.0
11,Construction of a Cafetaria,Atauro,Infrastructure,USD,"63,067.77",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,63067.77,Municipality,Government of Timor-Leste,63067.77
12,Rehabilitation of the teachers' residence,Atauro,Infrastructure,USD,"69,942.23",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,69942.23,Municipality,Government of Timor-Leste,69942.23
13,Construction of a health post,Atauro,Infrastructure,USD,"36,903.01",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,36903.01,Municipality,Government of Timor-Leste,36903.01
14,Rehabilitation of Observation Room of the Health Post,Atauro,Infrastructure,USD,"90,365.21",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,90365.21,Municipality,Government of Timor-Leste,90365.21
15,Construction of a Medical Residence,Atauro,Infrastructure,USD,"245,087.72",2024,2025,Gov TL - Infrastructure Fund,GovTL,Completed,5. Job & social protection,2. Infrastructure development,2025.0,Gov TL - Infrastructure Fund,GovTL,Completed,245087.72,Municipality,Government of Timor-Leste,245087.72
16,Rehabilitation of the teachers' residence at Macadade,Atauro,Infrastructure,USD,"53,408.66",2024,2025,Gov TL - Infrastructure Fund,GovTL,Completed,5. Job & social protection,2. Infrastructure development,2025.0,Gov TL - Infrastructure Fund,GovTL,Completed,53408.66,Municipality,Government of Timor-Leste,53408.66
17,Rehabilitation of the teachers' residence,Atauro,Infrastructure,USD,"150,614.96",2024,Not identified,Gov Tl - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Gov Tl - Infrastructure Fund,GovTL,Ongoing - Active,150614.96,Municipality,Government of Timor-Leste,150614.96
18,Construction of a Distribuition Tank,Atauro,Water and Sanitation,USD,"369,636.06",2024,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,369636.06,Municipality,Government of Timor-Leste,369636.06
19,Greywater Canalization,Atauro,Water and Sanitation,USD,"31,790.83",2024,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & social protection,2. Infrastructure development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,31790.83,Municipality,Government of Timor-Leste,31790.83
20,Construction of a Garbage Bin,Atauro,health and sanitation,USD,"6,302.34",2023,2024,Gov TL - Infrastructure Fund,GovTL,Completed,5. Job & social protection,2. Infrastructure development,2024.0,Gov TL - Infrastructure Fund,GovTL,Completed,6302.34,Municipality,Government of Timor-Leste,6302.34
21,Construction of a distribuition Tank Water,Atauro,Water and Sanitation,USD,"7,725.95",2023,2024,Gov TL - Infrastructure Fund,GovTL,Completed,5. Job & social protection,2. Infrastructure development,2024.0,Gov TL - Infrastructure Fund,GovTL,Completed,7725.95,Municipality,Government of Timor-Leste,7725.95
22,TOMAK (Toos ba Moris Diak) Farming for Prosperity,Atauro,infrastructure,USD,"55,694.80",2023,2024,Gov TL - Infrastructure Fund,GovTL,Completed,5. Job & social protection,2. Infrastructure development,2024.0,Gov TL - Infrastructure Fund,GovTL,Completed,55694.8,Municipality,Government of Timor-Leste,55694.8
23,Contruction of a Cafeteria Maquili Basic School Branch,Atauro,Infrastructure,USD,"111,869.89",2023,2024,Gov TL - Infrastructure Fund,GovTL,Completed,5. Job & social protection,2. Infrastructure development,2024.0,Gov TL - Infrastructure Fund,GovTL,Completed,111869.89,Municipality,Government of Timor-Leste,111869.89
59,Major Manutensaun Torre MF Aitarak Laran,Timor-Leste,Infrastructure,USD,"1,000,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1000000.0,National,Government of Timor-Leste,1000000.0
60,New Construction of Perimeter Fence Backfill and Concrete Ya,Covalima,Infrastructure,USD,"500,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,500000.0,Municipality,Government of Timor-Leste,500000.0
61,Supervision for the construction of the Eternal Flame Garden,Dili,Infrastructure,USD,"120,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,120000.0,Municipality,Government of Timor-Leste,120000.0
62,Construction of the Eternal Flame Garden,Dili,Infrastructure,USD,"1,200,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1200000.0,Municipality,Government of Timor-Leste,1200000.0
63,Construction of the Kay Rala Xanana Gusmao Garden,Lautem,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
64,The Restoration of Old Portugues Culture & Heritage Building,Dili,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
65,Construction of Baucau Cultural Center,Baucau,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
66,New construction of Health Post & Doctor House in Obulo Ermera,Ermera,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
67,"Construction of Monument of ""Guerra de Lakudala""",Baucau,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
68,Construction of Archive & Museum and Deposit,Aileu,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
69,Road Network Upgrading Project (RNUP) for Manatuto - Lacluba,Manatuto,Infrastructure,USD,"403,642.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,403642.0,Municipality,Government of Timor-Leste,403642.0
70,"Road Network Upgrading Project (RNUP), Upgrading and Maintenance",Dili,Infrastructure,USD,"400,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,400000.0,Municipality,Government of Timor-Leste,400000.0
71,"Construction of National Roads, Gleno - Letefoho A10 - 25",Ermera,Infrastructure,USD,"2,000,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2000000.0,Municipality,Government of Timor-Leste,2000000.0
72,"Construction of National Roads, Lautem - Lospalos",Lautem,Infrastructure,USD,"500,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,500000.0,Municipality,Government of Timor-Leste,500000.0
73,"Construction of National Roads, Lautem - Com",Lautem,Infrastructure,USD,"500,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,500000.0,Municipality,Government of Timor-Leste,500000.0
74,"New construction of SSM, Manatuto Municipality",Manatuto,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
75,Construction of Secondary Roads - Tasi Tolu,Dili,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
76,"New Construction of Community Health Centre (CHC), at Horai",Ainaro,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
77,"New Construction of Community Health Centre (CHC), Remixio",Aileu,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
78,Construction of a new National Road Ermera - Hatulia A11,Ermera,Infrastructure,USD,"500,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,500000.0,Municipality,Government of Timor-Leste,500000.0
79,Construction of New National Road Letefoho - Atsabe A1,Ermera,Infrastructure,USD,"1,000,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1000000.0,Municipality,Government of Timor-Leste,1000000.0
80,Roads and Drainage Rehabilitation Auto Timor - Bebonuk,Dili,Infrastructure,USD,"250,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,250000.0,Municipality,Government of Timor-Leste,250000.0
81,Construction of Emergency Road In Buipira-Maliana to Colimau,Bobonaro,Infrastructure,USD,"500,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,500000.0,Municipality,Government of Timor-Leste,500000.0
82,"New Construction for Health Post and Doctor House, Aicurus",Aileu,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
83,Emergency Tafara River,Covalima,Infrastructure,USD,"186,676.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,186676.0,Municipality,Government of Timor-Leste,186676.0
84,Rehabilitation of Road Section: Hatulia - Uaimori Road Package,Baucau,Infrastructure,USD,"250,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,250000.0,Municipality,Government of Timor-Leste,250000.0
85,"New Construction for Health Post and Doctor House, Ariana",Baucau,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
86,"New Construction for Health Post and Doctor House, Wacala",Baucau,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
87,"Rehabilitation of the Urban Road, Maliana (23Km)",Bobonaro,Infrastructure,USD,"14,000,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,14000000.0,Municipality,Government of Timor-Leste,14000000.0
88,"Road Climate Resilience Project (RNUP), Lot.2 Laulara - Sole",Aileu,Infrastructure,USD,"200,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,200000.0,Municipality,Government of Timor-Leste,200000.0
89,Construction of the  Pediatric and ICCU Building in Guido Valadares,Dili,Infrastructure,USD,"2,802,500.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2802500.0,Municipality,Government of Timor-Leste,2802500.0
90,"Rehabilitation of Rural Road, Atabae - Rairobo Chainage",Bobonaro,Infrastructure,USD,"227,782.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,227782.0,Municipality,Government of Timor-Leste,227782.0
91,Construction of New  Warehouse for Medical Equipment,Viqueque,Infrastructure,USD,"400,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,400000.0,Municipality,Government of Timor-Leste,400000.0
92,"Rehabilitation of Rural Road, Atabae - Rairobo Chainage",Bobonaro,Infrastructure,USD,"227,552.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,227552.0,Municipality,Government of Timor-Leste,227552.0
93,Consulting Services for Municipal Spatial Planning of Municipality of Baucau,Baucau,Infrastructure,USD,"270,504.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,270504.0,Municipality,Government of Timor-Leste,270504.0
94,Consulting Services for Municipal Spatial Planning of Municipality of Dili,Dili,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
95,Consulting Services for Municipal Spatial Planning of Municipality of Manufahi,Manufahi,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
96,Solid Waste Management : Landfill Design-Build-Remediate Ope,Liquica,Infrastructure,USD,"2,100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2100000.0,Municipality,Government of Timor-Leste,2100000.0
97,Construction of the Building of the Tribunal Distrital of Dili,Dili,Infrastructure,USD,"1,068,290.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1068290.0,Municipality,Government of Timor-Leste,1068290.0
98,Feasibility Study and DED for the Construction of the New Navy Port in Hera,Dili,Infrastructure,USD,"345,303.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,345303.0,Municipality,Government of Timor-Leste,345303.0
99,Construction of Democracy & Civic Education Center,Dili,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
100,Construction of INAP Training Center,Timor-Leste,Infrastructure,USD,"489,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,489000.0,National,Government of Timor-Leste,489000.0
101,"Construction of Wall, Water Supply and Electricity",Timor-Leste,Infrastructure,USD,"51,228.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,51228.0,National,Government of Timor-Leste,51228.0
102,Construction of New School in Baucau,Timor-Leste,Infrastructure,USD,"262,008.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,262008.0,National,Government of Timor-Leste,262008.0
103,Construction of the New Education Building in Lospalos,Timor-Leste,Infrastructure,USD,"250,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,250000.0,National,Government of Timor-Leste,250000.0
104,Re-development of Becora secondary Technical- Vocational School,Dili,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
105,Polytechnic College for Service Industry and Tourism Lospalos,Lautem,Infrastructure,USD,"150,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,150000.0,Municipality,Government of Timor-Leste,150000.0
106,Rehabilitation of Dr. Antonio Carvalho Hospital Lahane,Dili,Infrastructure,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
152,Road Construction of the Gleno - Hatubelico,Timor-Leste,Construction,USD,"7,040,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,7040000.0,National,Government of Timor-Leste,7040000.0
